timestamp,region,actual_demand_mw,forecast_demand_mw,rooftop_actual_mw,rooftop_forecast_mw
2026-06-17 14:30:00,VIC1,,5458.71,,855.634
2026-06-17 15:00:00,NSW1,,7493.86,,1699.252
2026-06-17 15:00:00,QLD1,,5789.32,,1923.995
2026-06-17 15:00:00,SA1,,1776.5,,115.377
2026-06-17 15:00:00,TAS1,,1206.0,,35.941
2026-06-17 15:00:00,VIC1,,5487.6,,698.65
2026-06-17 15:30:00,NSW1,,7787.76,,1247.725
2026-06-17 15:30:00,QLD1,,6164.39,,1460.013
2026-06-17 15:30:00,SA1,,1797.44,,93.479
2026-06-17 15:30:00,TAS1,,1216.0,,21.954
2026-06-17 15:30:00,VIC1,,5569.8,,522.536
2026-06-17 16:00:00,NSW1,,8159.87,,765.765
2026-06-17 16:00:00,QLD1,,6585.5,,968.838
2026-06-17 16:00:00,SA1,,1805.9,,60.89
2026-06-17 16:00:00,TAS1,,1236.0,,10.781
2026-06-17 16:00:00,VIC1,,5825.57,,327.091
2026-06-17 16:30:00,NSW1,,8563.65,,284.019
2026-06-17 16:30:00,QLD1,,7016.96,,471.851
2026-06-17 16:30:00,SA1,,1823.64,,31.072
2026-06-17 16:30:00,TAS1,,1259.0,,2.809
2026-06-17 16:30:00,VIC1,,6065.4,,132.579
2026-06-17 17:00:00,NSW1,,9042.28,,0.0
2026-06-17 17:00:00,QLD1,,7411.7,,100.79
2026-06-17 17:00:00,SA1,,1876.79,,9.102
2026-06-17 17:00:00,TAS1,,1299.0,,0.0
2026-06-17 17:00:00,VIC1,,6398.36,,0.0
2026-06-17 17:30:00,NSW1,,9487.54,,0.0
2026-06-17 17:30:00,QLD1,,7738.75,,0.0
2026-06-17 17:30:00,SA1,,1937.91,,0.0
2026-06-17 17:30:00,TAS1,,1345.0,,0.0
2026-06-17 17:30:00,VIC1,,6651.07,,0.0
2026-06-17 18:00:00,NSW1,,9800.72,,0.0
2026-06-17 18:00:00,QLD1,,8007.45,,0.0
2026-06-17 18:00:00,SA1,,1990.5,,0.0
2026-06-17 18:00:00,TAS1,,1362.0,,0.0
2026-06-17 18:00:00,VIC1,,6860.8,,0.0
2026-06-17 18:30:00,NSW1,,9825.58,,0.0
2026-06-17 18:30:00,QLD1,,8001.73,,0.0
2026-06-17 18:30:00,SA1,,2014.95,,0.0
2026-06-17 18:30:00,TAS1,,1356.0,,0.0
2026-06-17 18:30:00,VIC1,,6838.3,,0.0
2026-06-17 19:00:00,NSW1,,9771.26,,0.0
2026-06-17 19:00:00,QLD1,,7885.45,,0.0
2026-06-17 19:00:00,SA1,,1984.0,,0.0
2026-06-17 19:00:00,TAS1,,1351.0,,0.0
2026-06-17 19:00:00,VIC1,,6722.14,,0.0
2026-06-17 19:30:00,NSW1,,9608.24,,0.0
2026-06-17 19:30:00,QLD1,,7713.23,,0.0
2026-06-17 19:30:00,SA1,,1945.94,,0.0
2026-06-17 19:30:00,TAS1,,1324.0,,0.0
2026-06-17 19:30:00,VIC1,,6555.17,,0.0
2026-06-17 20:00:00,NSW1,,9449.13,,0.0
2026-06-17 20:00:00,QLD1,,7559.56,,0.0
2026-06-17 20:00:00,SA1,,1902.8,,0.0
2026-06-17 20:00:00,TAS1,,1306.0,,0.0
2026-06-17 20:00:00,VIC1,,6354.96,,0.0
2026-06-17 20:30:00,NSW1,,9296.07,,0.0
2026-06-17 20:30:00,QLD1,,7386.37,,0.0
2026-06-17 20:30:00,SA1,,1861.7,,0.0
2026-06-17 20:30:00,TAS1,,1291.0,,0.0
2026-06-17 20:30:00,VIC1,,6149.24,,0.0
2026-06-17 21:00:00,NSW1,,9109.42,0.0,0.0
2026-06-17 21:00:00,QLD1,,7328.83,0.0,0.0
2026-06-17 21:00:00,SA1,,1823.44,0.0,0.0
2026-06-17 21:00:00,TAS1,,1259.0,0.0,0.0
2026-06-17 21:00:00,VIC1,,5970.02,0.0,0.0
2026-06-17 21:30:00,NSW1,,8862.42,0.0,0.0
2026-06-17 21:30:00,QLD1,,7194.3,0.0,0.0
2026-06-17 21:30:00,SA1,,1775.15,0.0,0.0
2026-06-17 21:30:00,TAS1,,1240.0,0.0,0.0
2026-06-17 21:30:00,VIC1,,5780.88,0.0,0.0
2026-06-17 22:00:00,NSW1,,8780.08,,0.0
2026-06-17 22:00:00,QLD1,,6923.95,,0.0
2026-06-17 22:00:00,SA1,,1698.05,,0.0
2026-06-17 22:00:00,TAS1,,1180.0,,0.0
2026-06-17 22:00:00,VIC1,,5632.37,,0.0
2026-06-17 22:30:00,NSW1,8513.06,8586.66,,0.0
2026-06-17 22:30:00,QLD1,6543.52,6718.27,,0.0
2026-06-17 22:30:00,SA1,1593.57,1646.54,,0.0
2026-06-17 22:30:00,TAS1,1113.99,1115.0,,0.0
2026-06-17 22:30:00,VIC1,5376.54,5350.9,,0.0
2026-06-17 22:35:00,NSW1,8491.59,,,
2026-06-17 22:35:00,QLD1,6584.28,,,
2026-06-17 22:35:00,SA1,1579.05,,,
2026-06-17 22:35:00,TAS1,1117.42,,,
2026-06-17 22:35:00,VIC1,5230.3,,,
